Código IBGE,Município,UF,População 2022,PIB per capita 2021,Índice de Progresso Social,Necessidades Humanas Básicas,Fundamentos do Bem-estar,Nutrição e Cuidados Médicos Básicos,Água e Saneamento,Acesso à Informação e Comunicação,Saúde e Bem-estar,Qualidade do Meio Ambiente,Cobertura Vacinal (Poliomielite),Mortalidade Infantil até 5 Anos,Subnutrição,Abastecimento de Água via Rede de Distribuição,Esgotamento Sanitário Adequado,Índice de Abastecimento de Água,Índice de Perdas de Água na Distribuição,Domicílios com Coleta de Resíduos Adequada,Domicílios com Iluminação Elétrica Adequada,Domicílios com Paredes Adequadas,Domicílios com Piso Adequado,Cobertura de Internet Móvel (4G/5G),Densidade de Internet Banda Larga Fixa,Densidade de Telefonia Móvel,Qualidade de Internet Móvel,Expectativa de Vida,Mortalidade entre 15 e 50 anos,Mortalidade por Doenças Crônicas Não Transmissíveis,Áreas Verdes Urbanas,Focos de Calor,Índice de Vulnerabilidade Climática dos Municípios (IVCM),Supressão da Vegetação Primária e Secundária,Índice de Vulnerabilidade das Famílias do Cadastro Único (IVCAD),Praças e Parques em Áreas Urbanas,Famílias em Situação de Rua
2804607,Nossa Senhora das Dores (SE),SE,25537,16398.5931315346,59.1477442462368,66.7766278626731,60.5911495977358,78.0604863484416,65.2946872747677,60.2998121587377,51.4524690454478,63.6866372545942,96.3924109326004,20.0782974657867,3.15352900066527,70.5521703726562,21.2719600604448,89.46,48.4325,86.3290851827043,93.5985946357781,75.3144382012138,99.0128732882221,89.66,10.12,60.82,94.3500416666666,69.93,2.88792458476732,397.223891589088,11.7984927283534,1.60025604096655,50.44,9.1038752409518,0.29629481276857,1.36038471275404,1.87425614555735
2804706,Nossa Senhora de Lourdes (SE),SE,6404,14339.5541068082,60.2514216107558,77.1360116458379,61.540606953541,75.5338437686135,68.8452553097528,64.4925274899123,48.1792795267361,60.2905945047512,94.949494949495,22.4673203639038,3.26487530214144,85.0355343121464,19.1386547732037,95.67125,65.6925,88.7511196538871,95.1500583951337,82.9882551503504,97.4433885517668,99.46,9.75,73.03,92.4954875,68.13,2.3543990086741,388.806394966854,12.2387153765909,0,49.13,55.783584416103,0.276619246861925,2.38818794830887,0
2804805,Nossa Senhora do Socorro (SE),SE,202450,16084.4489770314,59.8826673405851,73.042858758116,63.7213467499602,68.7993125545262,79.2461670281646,70.2534687433099,54.0825225261904,66.8146338819457,73.5703413983864,20.2599410226962,3.74307772886517,91.0295109517096,72.7729594557101,88.13875,53.38125,87.975899216424,92.1250083222891,84.9353454786823,99.0048744415817,99.7,18.97,83.88,94.9396916666667,73.64,2.46468789550019,445.599325912206,7.37722185586396,0.103987937399262,47.38,9.62039241791018,0.278415391227526,2.15617432277856,7.21499830126905
2804904,Pacatuba (SE),SE,12709,18756.038547486,56.3964903818895,67.7474660657926,57.482463416239,75.7832733601968,43.377179541893,55.9154663702017,53.8759387321809,56.6659181373148,97.9424027509134,16.8464347626648,4.35175017589088,56.5258022188031,1.10447232445308,47.525,52.2775,44.1025670298918,90.0183750822343,76.1631359802295,98.6389643690781,73.33,5.07,69.52,91.05335,68.84,1.93756727664155,410.00492236993,0.908105762686048,7.19884818429051,52.53,13.098982481132,0.30109936350778,1.11779840265558,0.992802184164806
2805000,Pedra Mole (SE),SE,2818,17161.9899219305,57.6341855365169,77.5384570688552,55.5423329484763,70.5708352510494,71.5944734507608,66.1421695823408,34.9885361693753,59.4697398515304,87.1291866028708,29.9178876543756,3.61188876271477,84.6658603005994,31.3759518935958,94.35,58.12625,77.7363080837273,96.6687946366796,95.4747768768074,93.8892056864207,97.81,3.34,91.01,93.7411166666667,66.88,3.11173974540311,458.931701116987,0,0,43.02,24.859110150215,0.294454646017699,4.39494870050396,0
2805109,Pedrinhas (SE),SE,7416,13438.2730312837,58.3940230632934,66.5028642027479,62.2117920436811,71.5935340671584,33.5920244821654,66.3942959016869,52.9260551564837,65.1548501390122,90.1552489603237,24.3355765574091,4.53106679109332,29.6193012901361,11.4538094989197,38.7625,48.3475,96.438391829057,99.1143161641554,86.9816499754484,98.7115466294111,100,21.33,64.53,92.2659555555555,70.01,3.04280556988138,366.964283273098,4.73558785852061,0,44.47,12.9065827519788,0.277409638554217,3.2426470740941,0.788643533123028
2805208,Pinhão (SE),SE,5769,15989.3378748483,56.1450111018631,70.5443046263656,55.1522876564314,77.5860867027926,55.6822328416219,61.8172835053454,49.8726266380011,53.7726423118012,95.7440753783192,19.0093229117619,3.73930121632348,61.9125584289985,20.3311296707489,76.22,61.2,69.7593381296551,96.9024877009144,74.9442937115633,94.5461943328414,93.3,1.92,73.66,96.6062527777778,67.63,3.02717578259374,395.316326319568,0.844060789809355,0,53.84,23.2126854313722,0.291454491017964,5.91953037695966,0
2805307,Pirambu (SE),SE,8037,17286.1553564763,54.8233672584674,66.3657264671528,58.7940982452271,68.2327152870766,80.0982561742554,64.7815861770817,53.7683105926098,57.7108168821788,78.5952829314127,30.4294854181072,4.48823961862794,74.4297802606724,98.064421723475,94.07,49.01125,81.0713080405265,92.3077801424761,70.8329067229149,97.5575521787907,96.79,9.01,75.22,95.1957416666667,70.86,2.29604298974109,360.345523724107,0.644772410625107,2.52748641476052,56.53,6.91901046818226,0.31623831300813,3.28209385062555,3.90079080335382
2805406,Poço Redondo (SE),SE,29117,14399.9583920047,56.5449421926495,70.8518241827792,57.2749961681926,77.700605955646,54.1850703547088,55.5706932647655,63.3288342434435,54.7485355932028,91.7141150172729,22.0018286569304,3.37526606589592,66.7877064124989,45.6642655045564,56.13375,66.13625,54.3064358916005,93.527998678522,78.7708822671293,98.9515283186101,75.07,2.52,64.94,94.9349555555556,70.58,2.06911978525892,281.066778163725,2.16450209978484,2.39241604114956,54.43,31.7675170750455,0.32137830882353,0.866763527617453,0.22737608003638
2805505,Poço Verde (SE),SE,22214,14614.8737102728,60.805229649252,73.5135269257674,60.7456705934467,76.9068542766501,68.1502407739212,63.0235425504996,55.2539946510483,58.1919734132573,92.3266087789167,15.1483286737541,5.17064386104628,74.7948036518885,30.808038725371,88.98875,48.315,80.8883475034417,97.5834005474257,94.5701991675938,99.6381340845249,79.6,12.69,82.21,93.7725138888889,70.08,2.71796681962584,296.525319386237,2.32807871746223,0,50.55,17.727528431986,0.291514053614948,4.58337021336148,0
2805604,Porto da Folha (SE),SE,27350,13500.1402888483,58.2090206571207,70.8766695172478,58.0986165568631,70.0377760622338,74.3957811698573,54.5764627066411,61.7527187308595,52.6076774976166,63.0751671661141,20.6385206866957,4.5582992109242,75.9459528630113,73.9473792415461,96.22375,66.24125,54.0582974968206,95.1715652704864,79.9767670092125,95.5920371842113,88.15,1.71,63.44,81.2961657142857,69.36,2.13070213070213,301.497946292731,2.97617409950953,1.12883804936785,56.5,30.6827903909306,0.30500251984377,0.478817016857315,0.534842156715496
2805703,Propriá (SE),SE,27273,20472.4593077403,57.4109123528484,66.7558135258545,62.8047470826076,68.0230117650898,82.7532314880207,66.0195872762318,49.801576350092,62.6806547261562,62.8365313685161,15.4743749725331,3.81689216379176,84.3418806950215,95.5969939872731,97.17875,56.7025,97.5599761182211,95.4311488939585,81.4311896335746,99.1097921818213,98.67,10.29,78.57,94.0839472222222,71.58,3.35619436743032,467.385118230956,10.2189723010735,0,55.86,3.93532146764356,0.281445268057232,1.80765862762041,11.6145591778273
2805802,Riachão do Dantas (SE),SE,18579,17832.2298939663,56.9266429205542,69.7941400772625,59.926245937723,73.6311255897453,43.134318168144,56.4972739670413,66.0434931277073,52.697629206242,76.5678804125908,17.4056023246386,3.65631749325661,43.1915379525417,11.9377727599406,57.70625,55.04875,57.5591548287071,97.3032188633883,78.7701178008983,97.0441460892943,89.37,4.58,51.15,94.2256027777778,71.87,1.75941080196399,326.709542795064,0.790403246148924,3.82242123081964,53.85,25.8179856740112,0.319322448251249,1.09710807623,0.353544281421248
2805901,Riachuelo (SE),SE,8875,25242.2002591549,54.0319955511208,64.3201172283453,54.7227311820145,62.4933355963691,74.3992346728973,56.3756069121799,46.2054726651532,56.1236082548953,73.7995759947815,21.2302022178734,3.73720063332367,79.929007754169,84.3593065714833,82.08625,58.4175,83.5900867359162,88.647226370575,83.7777300957941,90.356198437144,99.56,0.2,65.82,77.9011914285714,70.96,3.46746575342466,514.338462415472,0.827911355196344,2.28623685413809,54.32,18.2163828586201,0.285561927710844,4.62875679581278,1.33472164573807
2806008,Ribeirópolis (SE),SE,17362,19693.6374784011,60.9086029216105,74.1883971137403,62.5255094719769,78.7037677870779,78.9413398554465,65.8997395351389,57.7369239977276,56.9838252062695,97.0959860383944,22.9596917358177,3.54079645794776,83.7648640344647,83.2997928558716,90.375,54.13125,88.4580018321973,98.5298486946186,90.5837842575931,99.4151487083208,98.48,12.92,74.31,94.0308555555556,71.15,2.32893423533326,313.554764220648,1.70992037377514,0,52.61,13.6906624418654,0.256255672823219,3.03426610755592,1.83889349901531
2806107,Rosário do Catete (SE),SE,9499,49729.3798084009,59.7893672948158,71.7078674527681,62.2422674403751,66.0585775670263,71.2325975444328,70.614847040698,51.513977489148,60.2512137482284,73.564998550971,15.8175806779849,5.61629713618497,80.9418708862552,70.6272517290354,73.86125,51.6075,95.2910700761051,94.677737999347,73.4625730875352,97.9027321796741,99.99,16.7,90.58,93.4353138888889,68.84,2.34296101797617,462.911862967933,5.33682089147512,4.30338891877354,50.91,10.0787851487439,0.296594496155403,4.06567978483055,4.09006397141097
2806206,Salgado (SE),SE,20772,10548.1845128057,56.6090571121921,66.42014858016,59.6298959222174,70.2193800951905,49.6163621192771,54.7311257817398,57.7367015140824,58.8961559434723,71.4822226407593,21.0456241593265,3.73163883724387,45.5952520559326,39.811532181969,58.28,49.115,62.9519254192636,96.4757526386323,80.4872102184539,98.6780158940776,87.16,4.46,43.77,95.4092685714285,72.35,2.62165220671445,369.597360627344,3.64346752490169,0,53.48,15.7060024869952,0.289656685499059,0.981257741999112,1.06390258924513
