ps,mun,per,prob_mean,ppt_out_mean,altitude_mean,ppt_ago_mean,Expectativa de Vida_mean,Necessidades Humanas Básicas_mean,tmed_out_mean,ppt_jun_mean,ppt_set_mean,tmed_set_mean,Famílias em Situação de Rua_mean
35,353470,2013-2025,0.9464515,153.09999999999997,445.3999999999999,40.019999999999996,76.52999999999999,82.53200557841299,21.699999999999996,77.46000000000001,75.73,20.32999999999999,248.158948151367
35,355620,2013-2025,0.9459592,131.04,757.5100000000001,29.930000000000003,76.01,80.3309201477482,19.5,46.38,64.91999999999999,18.16,196.40243845414804
35,350950,2013-2025,0.94550294,130.63999999999993,669.5100000000001,32.34000000000002,76.59000000000002,81.61946001814223,20.009999999999998,47.09000000000002,64.58000000000001,18.680000000000003,186.14245160421999
35,350650,2013-2025,0.9450538,126.83999999999997,408.05000000000007,17.789999999999996,77.14,83.2902251405852,23.160000000000004,39.269999999999996,55.52999999999999,21.87,169.13889016307897
35,352710,2013-2025,0.9413587,123.30999999999997,447.17,25.02,77.13,82.32648943670429,22.6,50.38,62.39999999999999,21.300000000000004,184.21443171138498
35,353650,2013-2025,0.9412315,128.88000000000005,592.67,29.800000000000004,76.83000000000001,83.8894929700949,20.520000000000003,41.8,61.179999999999986,19.19,164.86085910107997
35,352530,2013-2025,0.93750924,132.88999999999993,564.4700000000001,23.600000000000005,78.13,82.01620700181209,21.360000000000007,45.76,61.36000000000001,20.050000000000004,178.70740166650404
35,352430,2013-2025,0.9362593,129.67000000000002,589.04,15.819999999999997,76.08000000000001,81.09855475534779,21.94,28.110000000000007,49.580000000000005,20.69,162.966634411207
35,354070,2013-2025,0.9342793,139.75,603.0599999999997,22.29,74.63,82.93747162927251,21.220000000000002,34.26,59.0,19.94,262.10852949164007
35,354140,2013-2025,0.93412215,137.82999999999998,390.6499999999999,33.87,76.49,83.8429213077044,22.889999999999993,59.230000000000004,64.05999999999997,21.52,158.385139474236
35,354340,2013-2025,0.9321101,144.98,607.6000000000001,24.399999999999995,75.64999999999999,82.16404399687141,21.740000000000002,37.97000000000001,57.70000000000002,20.490000000000002,105.20415554312602
35,353080,2013-2025,0.9305155,127.52999999999999,658.95,26.06,77.74,81.47694520721349,20.38,41.58,57.61000000000001,19.06,246.491014199215
35,350280,2013-2025,0.9299033,131.78,380.05000000000007,18.180000000000003,75.46000000000001,82.04634963502,23.42000000000001,41.459999999999994,55.21000000000001,22.12,138.021518645339
35,352570,2013-2025,0.92945105,117.59999999999997,427.13000000000005,14.490000000000002,77.14,84.57259114860429,23.089999999999996,34.300000000000004,52.88999999999999,21.819999999999997,147.02321355799603
35,352050,2013-2025,0.9289262,131.42000000000002,627.5100000000001,32.300000000000004,75.22000000000001,85.07075158950792,20.09,48.07000000000001,67.21000000000001,18.75,214.64328975480797
35,353340,2013-2025,0.924567,128.19000000000003,591.9499999999999,30.980000000000004,76.68000000000004,84.66826853679528,20.54,36.449999999999996,61.40999999999998,19.210000000000004,187.02580261001097
